name,diameter,coordinates,approval year,eponym,link,cleaned_links,ethnicity
March,30°57′N 176°18′W﻿ / ﻿30.95°N 176.3°W﻿ / 30.95; -176.3﻿ (March),83.0,1979.0,"Ausiàs March, Catalan poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3656,https://planetarynames.wr.usgs.gov/Feature/3656,Spain Origin Ausias
Mark Twain,10°55′S 138°17′W﻿ / ﻿10.91°S 138.28°W﻿ / -10.91; -138.28﻿ (Mark Twain),142.0,1976.0,"Mark Twain, American novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3718,https://planetarynames.wr.usgs.gov/Feature/3718,American Origin 
Martí,75°58′S 168°16′W﻿ / ﻿75.96°S 168.26°W﻿ / -75.96; -168.26﻿ (Martí),69.48,1976.0,"José Martí, Cuban writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3730,https://planetarynames.wr.usgs.gov/Feature/3730,Cuba Origin Jose
Martins,8°00′S 304°56′W﻿ / ﻿8°S 304.93°W﻿ / -8; -304.93﻿ (Martí),12.4,2019.0,"Maria Martins, Brazilian sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15846,https://planetarynames.wr.usgs.gov/Feature/15846,Brazil Origin Maria
Martial,68°28′N 178°20′W﻿ / ﻿68.47°N 178.33°W﻿ / 68.47; -178.33﻿ (Martial),51.0,1979.0,"Martial, Roman poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3726,https://planetarynames.wr.usgs.gov/Feature/3726,Roman Origin Marcus
Matabei,39°51′S 14°03′W﻿ / ﻿39.85°S 14.05°W﻿ / -39.85; -14.05﻿ (Matabei),24.0,2009.0,"Iwasa Matabei, Japanese painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14587,https://planetarynames.wr.usgs.gov/Feature/14587,Japan Origin Iwasa
Matisse,23°50′S 90°03′W﻿ / ﻿23.83°S 90.05°W﻿ / -23.83; -90.05﻿ (Matisse),189.04,1976.0,"Henri Matisse, French painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3750,https://planetarynames.wr.usgs.gov/Feature/3750,France Origin Henri
Melville,22°01′N 9°53′W﻿ / ﻿22.01°N 9.89°W﻿ / 22.01; -9.89﻿ (Melville),146.0,1976.0,"Herman Melville, American novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3824,https://planetarynames.wr.usgs.gov/Feature/3824,American Origin Herman
Mena,0°10′S 124°44′W﻿ / ﻿0.17°S 124.73°W﻿ / -0.17; -124.73﻿ (Mena),15.0,1976.0,"Juan de Mena, Spanish poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3830,https://planetarynames.wr.usgs.gov/Feature/3830,Spain Origin Juan
Mendelssohn,70°04′N 257°27′W﻿ / ﻿70.07°N 257.45°W﻿ / 70.07; -257.45﻿ (Mendelssohn),291.0,2012.0,"Felix Mendelssohn, German composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14966,https://planetarynames.wr.usgs.gov/Feature/14966,Germany Origin Jakob
Mendes Pinto,61°39′S 17°34′W﻿ / ﻿61.65°S 17.57°W﻿ / -61.65; -17.57﻿ (Mendes Pinto),192.0,1976.0,"Fernão Mendes Pinto, Portuguese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3838,https://planetarynames.wr.usgs.gov/Feature/3838,Portugal Origin F
Michelangelo,44°55′S 109°47′W﻿ / ﻿44.92°S 109.78°W﻿ / -44.92; -109.78﻿ (Michelangelo),229.71,1979.0,"Michelangelo, Italian artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3881,https://planetarynames.wr.usgs.gov/Feature/3881,Italy Origin Buonarroti
Mickiewicz,23°09′N 103°14′W﻿ / ﻿23.15°N 103.23°W﻿ / 23.15; -103.23﻿ (Mickiewicz),103.0,1976.0,"Adam Mickiewicz, Polish writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3884,https://planetarynames.wr.usgs.gov/Feature/3884,Poland Origin Adam
Milton,26°06′S 175°02′W﻿ / ﻿26.1°S 175.03°W﻿ / -26.1; -175.03﻿ (Milton),180.85,1976.0,"John Milton, English poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3906,https://planetarynames.wr.usgs.gov/Feature/3906,England Origin John
Mistral,4°42′N 54°40′W﻿ / ﻿4.7°N 54.67°W﻿ / 4.7; -54.67﻿ (Mistral),102.0,1976.0,"Gabriela Mistral, Chilean poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3929,https://planetarynames.wr.usgs.gov/Feature/3929,Chile Origin Gabriela
Mofolo,37°41′S 28°13′W﻿ / ﻿37.68°S 28.22°W﻿ / -37.68; -28.22﻿ (Mofolo),103.0,1976.0,"Thomas Mofolo, Lesotho writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3944,https://planetarynames.wr.usgs.gov/Feature/3944,Lesotho Origin Thomas
Molière,15°24′N 17°43′W﻿ / ﻿15.4°N 17.71°W﻿ / 15.4; -17.71﻿ (Molière),139.0,1976.0,"Molière, French playwright",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3954,https://planetarynames.wr.usgs.gov/Feature/3954,France Origin Jean
Monet,44°14′N 9°46′W﻿ / ﻿44.23°N 9.77°W﻿ / 44.23; -9.77﻿ (Monet),203.0,1979.0,"Claude Monet, French artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3964,https://planetarynames.wr.usgs.gov/Feature/3964,France Origin Claude
Monk,66°05′N 63°49′E﻿ / ﻿66.08°N 63.81°E﻿ / 66.08; 63.81﻿ (Monk),12.0,2013.0,"Thelonious Monk, American jazz musician",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15144,https://planetarynames.wr.usgs.gov/Feature/15144,United States Origin
Monteverdi,64°29′N 81°01′W﻿ / ﻿64.49°N 81.01°W﻿ / 64.49; -81.01﻿ (Monteverdi),134.0,1979.0,"Claudio Monteverdi, Italian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/4022,https://planetarynames.wr.usgs.gov/Feature/4022,Italy Origin Claudi
Moody,13°13′S 144°51′E﻿ / ﻿13.21°S 144.85°E﻿ / -13.21; 144.85﻿ (Moody),83.0,2008.0,"Ronald Moody, Jamaican painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14512,https://planetarynames.wr.usgs.gov/Feature/14512,Jamaica Origin Ronald
Morrison,79°40′N 232°34′E﻿ / ﻿79.66°N 232.57°E﻿ / 79.66; 232.57﻿ (Moody),35.0,2022.0,Toni Morrison; American author,https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16098,https://planetarynames.wr.usgs.gov/Feature/16098,United States Origin
Mozart,7°45′N 169°25′E﻿ / ﻿7.75°N 169.41°E﻿ / 7.75; 169.41﻿ (Mozart),241.0,1976.0,"Wolfgang Amadeus Mozart, Austrian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/4058,https://planetarynames.wr.usgs.gov/Feature/4058,Austria Origin W
Munch,40°29′N 152°49′E﻿ / ﻿40.48°N 152.82°E﻿ / 40.48; 152.82﻿ (Munch),57.0,2008.0,"Edvard Munch, Norwegian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14513,https://planetarynames.wr.usgs.gov/Feature/14513,Norway Origin Edvard
