name,diameter,coordinates,approval year,gender, famous_for,ethnicity,human_name,,continent
Yamada,82°32′N 136°10′E﻿ / ﻿82.54°N 136.16°E﻿ / 82.54; 136.16﻿ (Yamada),17.1,2015,Male,composer,Japan ,Kosaku Yamada,Kosaku Yamada,Asia
Anguissola,80°41′N 217°21′W﻿ / ﻿80.69°N 217.35°W﻿ / 80.69; -217.35﻿ (Anguissola),35,2017,Female,painter,Italy ,Sofonisba Anguissola,Sofonisba Anguissola,Europe
Anyte,79°30′N 210°40′W﻿ / ﻿79.5°N 210.67°W﻿ / 79.5; -210.67﻿ (Anyte),20,2017,Female,poet,Greek ,Anyte of Tegea,Anyte of Tegea,Europe
Heaney,33°46′S 237°43′W﻿ / ﻿33.77°S 237.71°W﻿ / -33.77; -237.71﻿ (Heaney),125,2017,Male,poet,Ireland ,Seamus Heaney,Seamus Heaney,Europe
Vonnegut,82°43′N 249°55′W﻿ / ﻿82.72°N 249.91°W﻿ / 82.72; -249.91﻿ (Vlaminck),26.61,2017,Male,writer,United States,Kurt Vonnegut,Kurt Vonnegut,North America
Canova,25°36′N 3°43′W﻿ / ﻿25.6°N 3.71°W﻿ / 25.6; -3.71﻿ (Canova),46,2018,Male,sculptor,Italy,Antonio Canova,Antonio Canova,Europe
Carleton,52°12′S 306°36′W﻿ / ﻿52.2°S 306.6°W﻿ / -52.2; -306.6﻿ (Carleton),177,2018,Male,writer,Ireland ,William Carleton,William Carleton,Europe
Travers,28°00′S 329°06′W﻿ / ﻿28.0°S 329.1°W﻿ / -28.0; -329.1﻿ (Tolstoj),164,2018,Female,writer,British Empire ,Pamela Lyndon Travers,Pamela Lyndon Travers,Multiple Continents
Angelou,80°19′N 66°43′W﻿ / ﻿80.32°N 66.71°W﻿ / 80.32; -66.71﻿ (Angelou),18,2019,Female,author,United States ,Maya Angelou,Maya Angelou,North America
Bellini,33°46′S 272°50′W﻿ / ﻿33.77°S 272.83°W﻿ / -33.77; -272.83﻿ (Bellini),45,2019,Male,painter,Italy ,Giovanni Bellini,Giovanni Bellini,Europe
